iter	Passed	Remaining
768	7811	2346
769	7821	2336
770	7832	2326
771	7844	2316
772	7856	2307
773	7868	2297
774	7878	2287
775	7889	2277
776	7899	2267
777	7909	2256
778	7919	2246
779	7928	2236
780	7938	2225
781	7948	2215
782	7958	2205
783	7968	2195
784	7979	2185
785	7989	2175
786	8000	2165
787	8010	2155
788	8021	2145
789	8031	2135
790	8042	2124
791	8051	2114
792	8061	2104
793	8072	2094
794	8083	2084
795	8093	2074
796	8102	2063
797	8112	2053
798	8120	2042
799	8130	2032
800	8140	2022
801	8152	2012
802	8161	2002
803	8172	1992
804	8183	1982
805	8193	1972
806	8203	1961
807	8213	1951
808	8223	1941
809	8234	1931
810	8244	1921
811	8254	1911
812	8264	1900
813	8275	1891
814	8286	1880
815	8297	1870
816	8307	1860
817	8316	1850
818	8326	1840
819	8336	1830
820	8346	1819
821	8356	1809
822	8366	1799
823	8377	1789
824	8387	1779
825	8398	1769
826	8409	1759
827	8420	1749
828	8431	1739
829	8441	1728
830	8450	1718
831	8461	1708
832	8472	1698
833	8483	1688
834	8493	1678
835	8502	1667
836	8511	1657
837	8521	1647
838	8531	1637
839	8541	1626
840	8550	1616
841	8560	1606
842	8572	1596
843	8581	1586
844	8593	1576
845	8604	1566
846	8614	1556
847	8624	1545
848	8633	1535
849	8642	1525
850	8652	1514
851	8662	1504
852	8672	1494
853	8682	1484
854	8692	1474
855	8702	1464
856	8712	1453
857	8723	1443
858	8733	1433
859	8746	1423
860	8757	1413
861	8766	1403
862	8776	1393
863	8785	1382
864	8795	1372
865	8805	1362
866	8817	1352
867	8826	1342
868	8835	1331
869	8844	1321
870	8854	1311
871	8866	1301
872	8877	1291
873	8887	1281
874	8896	1270
875	8905	1260
876	8916	1250
877	8925	1240
878	8935	1230
879	8945	1219
880	8956	1209
881	8967	1199
882	8977	1189
883	8987	1179
884	8998	1169
885	9009	1159
886	9019	1149
887	9028	1138
888	9037	1128
889	9048	1118
890	9057	1108
891	9068	1097
892	9078	1087
893	9088	1077
894	9099	1067
895	9108	1057
896	9118	1047
897	9129	1037
898	9139	1026
899	9149	1016
900	9159	1006
901	9169	996
902	9180	986
903	9189	975
